date,Undetected,Positives
2021-07-01,6529.441166198325,55209.95258749975
2021-07-02,6982.769169708737,54255.74962736964
2021-07-03,7457.767079330619,53444.69362305001
2021-07-04,7955.1183582850645,52774.553258924054
2021-07-05,8476.859272539483,52244.75443728793
2021-07-06,9022.89382966558,51852.880961279545
2021-07-07,9592.629330217564,51596.029238534196
2021-07-08,10186.281282155443,51472.19646093606
2021-07-09,10803.493730949422,51478.89643659911
2021-07-10,11444.049727551843,51613.84332642727
2021-07-11,12133.808937908538,51953.94562203521
2021-07-12,13014.10734014306,52908.19340337805
2021-07-13,14116.752263146724,54520.77548938484
2021-07-14,15451.777023862092,56773.60055569324
2021-07-15,16890.910429474072,59284.54884812226
2021-07-16,18440.887074972434,62069.73231346202
2021-07-17,20109.29152049669,65146.885666329836
2021-07-18,21905.008595761767,68535.84388810878
2021-07-19,23839.31278916683,72259.83818835512
2021-07-20,25918.904234482812,76338.4966489283
2021-07-21,28150.39321179327,80791.87170190064
2021-07-22,30542.846640776,85643.42758769135
2021-07-23,33106.36992718385,90918.7333941209
2021-07-24,35850.75866345969,96643.9475342439
2021-07-25,38786.76213777903,102847.10666461363
2021-07-26,41776.19637847307,109390.1238825504
2021-07-27,43967.620862614254,115265.40240603358
2021-07-28,45221.49789533162,120209.70611986762
2021-07-29,45629.91877047886,124202.77693028955
2021-07-30,46013.939741796705,128123.21260454004
2021-07-31,46372.914190437725,131968.5849566007
2021-08-01,46708.553604425055,135738.929712588
2021-08-02,47022.92978506951,139434.92281692364
2021-08-03,47311.753747079834,143050.80702221085
2021-08-04,47572.41685196061,146581.92784614567
2021-08-05,47803.501848308035,150024.72574729507
2021-08-06,48002.934103006504,153374.8027728175
2021-08-07,48169.27714091037,156628.321328239
2021-08-08,48306.27862815778,159786.7900890738
2021-08-09,48420.84020477725,162855.7857463252
2021-08-10,48507.38185938383,165828.70054087005
2021-08-11,48590.7404697671,168642.16324627167
2021-08-12,48816.56809089573,171026.26877171034
2021-08-13,49183.54328821317,172996.863239329
2021-08-14,49662.91938433407,174638.5137406829
2021-08-15,50112.33722021441,176259.1981963206
2021-08-16,50539.11977230913,177862.8404557551
2021-08-17,50938.70597578749,179441.93229316798
2021-08-18,51306.817504038736,180988.4064569667
2021-08-19,51641.08993027445,182496.0024901141
2021-08-20,51940.21769657367,183959.46096298468
2021-08-21,52203.5764799952,185374.326623149
2021-08-22,52435.306070302104,186741.1089214212
2021-08-23,52642.45832516539,188064.05736712785
2021-08-24,52818.902257640184,189334.65681118527
2021-08-25,52960.80794104936,190545.88454169832
2021-08-26,53004.89214633177,191578.21568574331
2021-08-27,52632.281994021185,191819.99592457133
2021-08-28,51857.90887035094,191249.05739762355
2021-08-29,50773.07963912604,189980.077974273
2021-08-30,49704.37884940971,188603.38614355685
2021-08-31,48645.05233779022,187119.86969792924
2021-09-01,47590.82951466501,185531.44503836057
2021-09-02,46541.60807219571,183843.8093087859
2021-09-03,45498.77876056196,182063.89270081572
2021-09-04,44464.17962995127,180198.9637468037
2021-09-05,43441.588367789365,178258.3090455755
2021-09-06,42434.76399725957,176251.49515096386
2021-09-07,41437.59266468896,174177.88701399215
2021-09-08,40447.80668593432,172039.63935376512
2021-09-09,39466.54900465852,169842.19821235663
2021-09-10,38494.95983119198,167591.00603466562
2021-09-11,37543.629252545456,165274.90683105352
2021-09-12,36661.32791605023,162827.53303927236
2021-09-13,35846.705274345804,160269.120451807
2021-09-14,35082.08291384894,157627.64287962657
2021-09-15,34318.51425945736,154986.94442959962
2021-09-16,33557.515272426084,152348.85100145772
2021-09-17,32800.597447461,149715.38120465743
2021-09-18,32048.80558521932,147088.19340436815
2021-09-19,31304.157946197025,144470.09862618253
2021-09-20,30569.830020136902,141865.37730974576
2021-09-21,29843.911637639198,139273.29515530725
2021-09-22,29125.471071243563,136693.6691808851
2021-09-23,28415.244570804105,134127.97839974452
2021-09-24,27713.752871733173,131577.49162755228
2021-09-25,27021.38201261665,129043.45161222649
2021-09-26,26353.55743781036,126587.23637351028
2021-09-27,25780.17461768503,124500.67727181829
2021-09-28,25294.16881613535,122767.26914541103
2021-09-29,24876.650527544574,121316.91190090492
2021-09-30,24459.35129285269,119859.9676116466
2021-10-01,24042.83507878647,118397.30258301122
2021-10-02,23627.059280622496,116929.1704352201
2021-10-03,23211.854581187694,115455.68778634624
2021-10-04,22798.897066345668,113978.91169338957
2021-10-05,22387.146123337654,112498.29750658953
2021-10-06,21975.816054566563,111013.3069476608
2021-10-07,21565.150724263658,109524.40097558184
2021-10-08,21155.611046822738,108032.2991559883
2021-10-09,20747.419181468907,106537.53843291655
2021-10-10,20341.124162392192,105041.0150554555
2021-10-11,20001.34416834085,103574.19523513324
2021-10-12,20037.17002854993,102317.2384772694
2021-10-13,20448.11479112456,101328.4711234936
2021-10-14,21189.22323986716,100653.11384027565
2021-10-15,21947.889692049055,100155.84006676484
2021-10-16,22725.067406636746,99831.96558626127
2021-10-17,23521.940318605153,99677.44627438422
2021-10-18,24341.070959885197,99690.06286748577
2021-10-19,25181.944118517946,99864.92109783572
2021-10-20,26043.913785815777,100197.03278118884
2021-10-21,26927.304206079207,100716.08819626075
2021-10-22,27832.21184199476,101578.70384632697
2021-10-23,28758.287857191946,102772.15753659431
2021-10-24,29706.097863544423,104253.99390923275
2021-10-25,30678.56435270779,105855.77327395664
2021-10-26,31674.256893550246,107575.22190295228
2021-10-27,32691.450537988676,109409.45332916662
2021-10-28,33729.34663962104,111356.44174933876
2021-10-29,34786.52242002893,113413.45658897761
2021-10-30,35862.59935322751,115578.75219466872
2021-10-31,36959.459585342134,117852.92240136795
2021-11-01,38080.9112288863,120238.88409163676
2021-11-02,39225.90485599301,122735.03982590573
2021-11-03,40394.19189824046,125340.39621784785
2021-11-04,41586.87218155386,128055.46178993222
2021-11-05,42804.51173858451,130880.3281578981
2021-11-06,44047.70196972924,133815.19641520016
2021-11-07,45318.0659948019,136861.43648463872
2021-11-08,46618.5034251283,140021.984946614
2021-11-09,47948.04063596957,143296.10127668706
2021-11-10,49306.12394756371,146683.24658860004
2021-11-11,50693.25675367266,150183.98620446594
2021-11-12,52109.721543080814,153798.70267426776
2021-11-13,53555.963982174544,157527.97882444886
2021-11-14,55033.08124608101,161373.1309399372
2021-11-15,56543.78117667049,165337.29782616094
2021-11-16,58090.333281505526,169423.50625454116
2021-11-17,59670.956098651164,173630.76608163473
2021-11-18,61284.56041488441,177958.4733076623
2021-11-19,62931.40885973835,182407.3471441627
2021-11-20,64611.745239329844,186978.09982353952
2021-11-21,66325.79336945506,191671.43259693417
2021-11-22,68073.75588267417,196488.03167568825
2021-11-23,69855.81301060064,201428.56411595724
2021-11-24,71672.12134276732,206493.67364640473
2021-11-25,73522.81256360465,211683.9764392918
2021-11-26,75407.99216923557,217000.05682567993
2021-11-27,77327.73816596792,222442.4629558899
2021-11-28,79282.099752546,228011.7024068003
2021-11-29,81271.09598841012,233708.23773802823
2021-11-30,83294.71445040483,239532.48199951416
